,序号,类型,节目名,表演者
32,33,歌曲,《友情》《默默地祝福你》《天黑黑》,黄植诚、李大维、黄阿原
33,34,独唱,《三笑》插曲,陈思思（香港）
34,35,相声,《夸家乡》,姜昆、李文华
35,36,歌曲,《要问我们想什么》《战士与梅花》,蒋大为
36,37,歌曲,《跳吧，年轻的伙伴》《那就是我》,李谷一
37,38,花鼓戏,《刘海砍樵》,李谷一、姜昆
38,39,结束曲/片尾曲,《难忘今宵》（最后一曲）,李谷一
,序号,类型,节目名,表演者
0,1,京戏,《百猴迎春》,中国京剧院
1,2,器乐演奏,《编钟乐曲》,湖北省歌舞团
2,3,歌曲,《南乡子》,李元华
3,4,歌曲,《万里长城永不倒》,吕念祖
4,5,,中国女子排球队队员给老教练、老队员、家属及服务人员拜年,
5,6,歌曲,《共享快乐年》《在我生命里》《中国梦》,罗文
6,7,,《中奖节目》,黄阿原
7,8,歌曲,《新春我们干一杯》《祖国慈祥的母亲》,张建一
8,9,粤剧,《花市》《花城之春》,红线女
9,10,高空杂技,《悠绳》,王景愚、张小卉
10,11,歌曲,《赤子之心》,周峰
11,12,相声,《大乐、特乐》,马三立
12,13,越剧,《五女拜寿》《南海渔歌》,何赛飞、茅威涛
13,14,歌曲,《一杯美酒》《我的歌会飞到你的身边》,迪里拜尔（维吾尔族）
14,15,,《中奖节目》——投篮球（中插广告）,黄阿原
15,16,歌曲,《谁知我心》,吕念祖、李志秀
16,17,歌曲,《龙的传人》《倩影》,黄锦波[注 1]
17,18,喜剧小品,《拍电影》,陈佩斯、朱时茂
18,19,歌曲,《小草》《欢腾的小路》,房新华
19,20,,零点钟声,
20,21,录像,《恭贺新年》,
21,22,豫剧,《老牛接班》,虎美玲、小香玉、王全真
22,23,舞蹈,《长袖舞》,湖北省歌舞团
23,24,男女声二重唱,《十五的月亮》《生命之花》,董文华、柳培德
24,25,硬气功表演,二指拉石、手指钻砖,李登来
25,26,歌曲,《故乡情》,奚秀兰
26,27,歌曲,《登上高峰》,张明敏
27,28,,武术表演,郝勇、张小燕、赵长军、王建军、王群、李燕龙、邱建国
28,29,歌曲,《长城脚下一朵小花》《年景》（根据《万水千山总是情]》曲调填词）,董岱
29,30,相声,《看电视》,姜昆、李金宝
30,31,京剧,《打渔杀家》,李慧芳（反串老生）（此前网上流传的节目单上的孙岳是误传）、王馥荔
31,32,歌曲,《问候你，朋友》 《长城长江万里长》（此前网上流传的节目单写的是《万里长城万里长》）《家乡》,汪明荃
32,33,歌曲,《友情》《默默地祝福你》《天黑黑》,黄植诚、李大维、黄阿原
33,34,,游戏节目（中插广告）,黄阿原
34,35,舞蹈,《迎来新时光》,总政歌舞团
35,36,结束曲/片尾曲,《难忘今宵》（最后一曲）,
,序号,类型,节目名,表演者
0,1,歌曲大联唱,①《拜年歌》②《请到天涯海角来》③《在那桃花盛开的地方》④《天仙配》⑤《回娘家》⑥《阿里山的姑娘》⑦《我的祖国》⑧《我们的生活充满阳光》⑨《我的中国心》⑩《刘海砍樵》⑪《今日痛饮庆功酒》,蒋大为、彭丽媛成方圆蒋大为郑绪岚、牟玄甫李维康郁钧剑彭丽媛董文华笑林刘晓庆、姜昆耿其昌、刘斌
1,2,相声,《虎年谈虎》,刘伟、冯巩
2,3,小魔术,,冯京、金云、陈佩斯、朱时茂
3,4,京剧清唱,《红灯记》选段《穷人的孩子早当家》、《都有一颗红亮的心》,刘斌、李维康
4,5,录像,海豚表演,
5,6,谜语,“气球”（猜晚会上一演员的名字）,
6,7,歌曲,《祖国啊我永远热爱你》,殷秀梅
7,8,歌曲,《追求》,成方圆
8,9,民歌,《过新年》,郁钧剑
9,10,歌曲,《我多想》,成方圆
10,11,小品,《送礼》,李婉芬、周国治
11,12,小提琴独奏,《波兰舞曲》,郭昶
12,13,相声,《怪声独唱》,笑林、李国盛
13,14,舞蹈,《鼓舞》,夏丽蓉
14,15,婚礼,,杨晟、于民刚
15,16,谜语,“红双喜”（打一四字成语）,
16,17,歌曲,《军港之夜》、《我要回到家乡去》,苏小明
17,18,歌曲,《望星空》,董文华
18,19,歌曲,《化蝶》、《哦，明天》,郑绪岚、牟玄甫
19,20,川剧、豫剧、越剧会串,《断桥》,陶长进、小香玉、方亚芬
20,21,谐剧,《零点七》,沈伐
21,22,舞蹈,《双回门》（录像）,谭金凤、梅万明等
22,23,相声,《戏迷》,侯耀文、石富宽
23,24,魔术,《空中悬人》,余剑等
24,25,山东快书,《吹牛》,郭秋林
25,26,谜语,“四化在心上”（打一字）,
26,27,歌曲,《太阳出来喜洋洋》,刘晓庆
27,28,歌曲,《燕子》、《阿拉木罕》,江桦
28,29,歌曲,《春光美》、《祝福歌》,张德兰
29,30,相声,《照相》,姜昆、唐杰忠
30,31,东北民歌,《送菜进城》,郭颂
31,32,歌曲,《勿忘我》,彭丽媛
